	place	material	descriptor	emotion	color	smell	geography	sound
sanitized	0	0	1	0	0	0	0	0
unsanitary	0	0	1	0	0	0	0	0
disgusting	0	0	1	0	0	0	0	0
stereotypical	0	0	1	0	0	0	0	0
florid	0	0	1	0	0	0	0	0
jazzy	0	0	1	0	0	0	0	0
vivid	0	0	1	0	0	0	0	0
gaudy	0	0	1	0	0	0	0	0
drab	0	0	1	0	0	0	0	0
lifeless	0	0	1	0	0	0	0	0
monochromatic	0	0	1	0	0	0	0	0
mind-bending	0	0	1	0	0	0	0	0
heartbreaking	0	0	1	0	0	0	0	0
conservative	0	0	1	0	0	0	0	0
puritanical	0	0	1	0	0	0	0	0
prim	0	0	1	0	0	0	0	0
demure	0	0	1	0	0	0	0	0
tidy	0	0	1	0	0	0	0	0
fuzzy	0	0	1	0	0	0	0	0
solid	0	0	1	0	0	0	0	0
rough	0	0	1	0	0	0	0	0
oppressive	0	0	1	0	0	0	0	0
gentle	0	0	1	0	0	0	0	0
suggestive	0	0	1	0	0	0	0	0
raunchy	0	0	1	0	0	0	0	0
demolished	0	0	1	0	0	0	0	0
tragic	0	0	1	0	0	0	0	0
ruined	0	0	1	0	0	0	0	0
grim	0	0	1	0	0	0	0	0
glowing	0	0	1	0	0	0	0	0
glossy	0	0	1	0	0	0	0	0
slimy	0	0	1	0	0	0	0	0
sweaty	0	0	1	0	0	0	0	0
clammy	0	0	1	0	0	0	0	0
arid	0	0	1	0	0	0	0	0
barren	0	0	1	0	0	0	0	0
moist	0	0	1	0	0	0	0	0
folksy	0	0	1	0	0	0	0	0
remixed	0	0	1	0	0	0	0	0
pluralistic	0	0	1	0	0	0	0	0
abstract realistic	0	0	1	0	0	0	0	0
fashionable	0	0	1	0	0	0	0	0
pretentious	0	0	1	0	0	0	0	0
impoverished	0	0	1	0	0	0	0	0
earthy	0	0	1	0	0	0	0	0
feminist	0	0	1	0	0	0	0	0
Gutai	0	0	1	0	0	0	0	0
Lego	0	0	1	0	0	0	0	0
decorated	0	0	1	0	0	0	0	0
furrowed	0	0	1	0	0	0	0	0
lithographed	0	0	1	0	0	0	0	0
scratched	0	0	1	0	0	0	0	0
embossed	0	0	1	0	0	0	0	0
symbol-covered	0	0	1	0	0	0	0	0
well-lit	0	0	1	0	0	0	0	0
blurry	0	0	1	0	0	0	0	0
tenebrous	0	0	1	0	0	0	0	0
somber	0	0	1	0	0	0	0	0
sober	0	0	1	0	0	0	0	0
sullied	0	0	1	0	0	0	0	0
overcast	0	0	1	0	0	0	0	0
sparkling	0	0	1	0	0	0	0	0
shimmering	0	0	1	0	0	0	0	0
scintillating	0	0	1	0	0	0	0	0
refulgent	0	0	1	0	0	0	0	0
ashen	0	0	1	0	0	0	0	0
sallow	0	0	1	0	0	0	0	0
ash-covered	0	0	1	0	0	0	0	0
water-logged	0	0	1	0	0	0	0	0
maritime	0	0	1	0	0	0	0	0
seagoing	0	0	1	0	0	0	0	0
oceangoing	0	0	1	0	0	0	0	0
deep-sea	0	0	1	0	0	0	0	0
lofty	0	0	1	0	0	0	0	0
ethereal	0	0	1	0	0	0	0	0
soaring	0	0	1	0	0	0	0	0
canonical	0	0	1	0	0	0	0	0
Latin	0	0	1	0	0	0	0	0
rabbinical	0	0	1	0	0	0	0	0
theocratical	0	0	1	0	0	0	0	0
ministerial	0	0	1	0	0	0	0	0
theoretical	0	0	1	0	0	0	0	0
orthodox	0	0	1	0	0	0	0	0
Greek	0	0	1	0	0	0	0	0
Austrian	0	0	1	0	0	0	0	0
Portuguese	0	0	1	0	0	0	0	0
Italian	0	0	1	0	0	0	0	0
Eastern European	0	0	1	0	0	0	0	0
Cambodian	0	0	1	0	0	0	0	0
Danish	0	0	1	0	0	0	0	0
Czech	0	0	1	0	0	0	0	0
Viking	0	0	1	0	0	0	0	0
Mexican	0	0	1	0	0	0	0	0
Irish	0	0	1	0	0	0	0	0
Welsh	0	0	1	0	0	0	0	0
South African	0	0	1	0	0	0	0	0
Nigerian	0	0	1	0	0	0	0	0
Saudi Arabian	0	0	1	0	0	0	0	0
Ukrainian	0	0	1	0	0	0	0	0
Caribbean	0	0	1	0	0	0	0	0
Assyrian	0	0	1	0	0	0	0	0
Bagirmi	0	0	1	0	0	0	0	0
Bedouin	0	0	1	0	0	0	0	0
Berber	0	0	1	0	0	0	0	0
Coptic	0	0	1	0	0	0	0	0
Jewish	0	0	1	0	0	0	0	0
Kanuri	0	0	1	0	0	0	0	0
Kurdish	0	0	1	0	0	0	0	0
Persian	0	0	1	0	0	0	0	0
Somali	0	0	1	0	0	0	0	0
Swazi	0	0	1	0	0	0	0	0
Tuareg	0	0	1	0	0	0	0	0
agricultural	0	0	1	0	0	0	0	0
radioactive	0	0	1	0	0	0	0	0
unstable	0	0	1	0	0	0	0	0
anarchic	0	0	1	0	0	0	0	0
soft-focus	0	0	1	0	0	0	0	0
drug-fueled	0	0	1	0	0	0	0	0
rainy	0	0	1	0	0	0	0	0
feudal	0	0	1	0	0	0	0	0
lost	0	0	1	0	0	0	0	0
forgotten	0	0	1	0	0	0	0	0
rediscovered	0	0	1	0	0	0	0	0
Joyful	0	0	0	1	0	0	0	0
Tender	0	0	0	1	0	0	0	0
Helpless	0	0	0	1	0	0	0	0
Defeated	0	0	0	1	0	0	0	0
Raging	0	0	0	1	0	0	0	0
Cheerful	0	0	0	1	0	0	0	0
Sympathetic	0	0	0	1	0	0	0	0
Powerless	0	0	0	1	0	0	0	0
Bored	0	0	0	1	0	0	0	0
Outraged	0	0	0	1	0	0	0	0
Content	0	0	0	1	0	0	0	0
Adoring	0	0	0	1	0	0	0	0
Dreading	0	0	0	1	0	0	0	0
Rejected	0	0	0	1	0	0	0	0
Hostile	0	0	0	1	0	0	0	0
Proud	0	0	0	1	0	0	0	0
Fond	0	0	0	1	0	0	0	0
Distrusting	0	0	0	1	0	0	0	0
Disillusioned	0	0	0	1	0	0	0	0
Bitter	0	0	0	1	0	0	0	0
Satisfied	0	0	0	1	0	0	0	0
Receptive	0	0	0	1	0	0	0	0
Suspicious	0	0	0	1	0	0	0	0
Inferior	0	0	0	1	0	0	0	0
Hateful	0	0	0	1	0	0	0	0
Excited	0	0	0	1	0	0	0	0
Interested	0	0	0	1	0	0	0	0
Cautious	0	0	0	1	0	0	0	0
Confused	0	0	0	1	0	0	0	0
Scornful	0	0	0	1	0	0	0	0
Amused	0	0	0	1	0	0	0	0
Delighted	0	0	0	1	0	0	0	0
Disturbed	0	0	0	1	0	0	0	0
Grief-stricken	0	0	0	1	0	0	0	0
Spiteful	0	0	0	1	0	0	0	0
Elated	0	0	0	1	0	0	0	0
Shocked	0	0	0	1	0	0	0	0
Overwhelmed	0	0	0	1	0	0	0	0
Helpless	0	0	0	1	0	0	0	0
Vengeful	0	0	0	1	0	0	0	0
Enthusiastic	0	0	0	1	0	0	0	0
Exhilarated	0	0	0	1	0	0	0	0
Uncomfortable	0	0	0	1	0	0	0	0
Isolated	0	0	0	1	0	0	0	0
Disliked	0	0	0	1	0	0	0	0
Optimistic	0	0	0	1	0	0	0	0
Dismayed	0	0	0	1	0	0	0	0
Guilty	0	0	0	1	0	0	0	0
Numb	0	0	0	1	0	0	0	0
Resentful	0	0	0	1	0	0	0	0
Amazed	0	0	0	1	0	0	0	0
Hurt	0	0	0	1	0	0	0	0
Regretful	0	0	0	1	0	0	0	0
Trusting	0	0	0	1	0	0	0	0
Delighted	0	0	0	1	0	0	0	0
Confused	0	0	0	1	0	0	0	0
Lonely	0	0	0	1	0	0	0	0
Ambivalent	0	0	0	1	0	0	0	0
Alienated	0	0	0	1	0	0	0	0
Calm	0	0	0	1	0	0	0	0
Stunned	0	0	0	1	0	0	0	0
Melancholy	0	0	0	1	0	0	0	0
Exhausted	0	0	0	1	0	0	0	0
Bitter	0	0	0	1	0	0	0	0
Relaxed	0	0	0	1	0	0	0	0
Interested	0	0	0	1	0	0	0	0
Depressed	0	0	0	1	0	0	0	0
Insecure	0	0	0	1	0	0	0	0
Insulted	0	0	0	1	0	0	0	0
Relieved	0	0	0	1	0	0	0	0
Intrigued	0	0	0	1	0	0	0	0
Hopeless	0	0	0	1	0	0	0	0
Disgusted	0	0	0	1	0	0	0	0
Indifferent	0	0	0	1	0	0	0	0
Hopeful	0	0	0	1	0	0	0	0
Absorbed	0	0	0	1	0	0	0	0
Sad	0	0	0	1	0	0	0	0
Pity	0	0	0	1	0	0	0	0
Pleased	0	0	0	1	0	0	0	0
Curious	0	0	0	1	0	0	0	0
Guilty	0	0	0	1	0	0	0	0
Disgusted	0	0	0	1	0	0	0	0
Confident	0	0	0	1	0	0	0	0
Anticipating	0	0	0	1	0	0	0	0
Hurt	0	0	0	1	0	0	0	0
Contemptuous	0	0	0	1	0	0	0	0
Brave	0	0	0	1	0	0	0	0
Eager	0	0	0	1	0	0	0	0
Lonely	0	0	0	1	0	0	0	0
Weary	0	0	0	1	0	0	0	0
Comfortable	0	0	0	1	0	0	0	0
Hesitant	0	0	0	1	0	0	0	0
Regretful	0	0	0	1	0	0	0	0
Bored	0	0	0	1	0	0	0	0
Safe	0	0	0	1	0	0	0	0
Fearful	0	0	0	1	0	0	0	0
Depressed	0	0	0	1	0	0	0	0
Preoccupied	0	0	0	1	0	0	0	0
Happy	0	0	0	1	0	0	0	0
Anxious	0	0	0	1	0	0	0	0
Hopeless	0	0	0	1	0	0	0	0
Angry	0	0	0	1	0	0	0	0
Loving	0	0	0	1	0	0	0	0
Worried	0	0	0	1	0	0	0	0
Sorrowful	0	0	0	1	0	0	0	0
Jealous	0	0	0	1	0	0	0	0
Lustful	0	0	0	1	0	0	0	0
Scared	0	0	0	1	0	0	0	0
Uncertain	0	0	0	1	0	0	0	0
Envious	0	0	0	1	0	0	0	0
Aroused	0	0	0	1	0	0	0	0
Insecure	0	0	0	1	0	0	0	0
Anguished	0	0	0	1	0	0	0	0
Annoyed	0	0	0	1	0	0	0	0
Tender	0	0	0	1	0	0	0	0
Rejected	0	0	0	1	0	0	0	0
Disappointed	0	0	0	1	0	0	0	0
Humiliated	0	0	0	1	0	0	0	0
Compassionate	0	0	0	1	0	0	0	0
Horrified	0	0	0	1	0	0	0	0
Self conscious	0	0	0	1	0	0	0	0
Irritated	0	0	0	1	0	0	0	0
Caring	0	0	0	1	0	0	0	0
Alarmed	0	0	0	1	0	0	0	0
Shamed	0	0	0	1	0	0	0	0
Aggravated	0	0	0	1	0	0	0	0
Infatuated	0	0	0	1	0	0	0	0
Shocked	0	0	0	1	0	0	0	0
Embarrassed	0	0	0	1	0	0	0	0
Restless	0	0	0	1	0	0	0	0
Concerned	0	0	0	1	0	0	0	0
Panicked	0	0	0	1	0	0	0	0
Humiliated	0	0	0	1	0	0	0	0
Grumpy	0	0	0	1	0	0	0	0
Trusting	0	0	0	1	0	0	0	0
trustworthy	0	0	0	1	0	0	0	0
Afraid	0	0	0	1	0	0	0	0
Disgraced	0	0	0	1	0	0	0	0
Awkward	0	0	0	1	0	0	0	0
Liked	0	0	0	1	0	0	0	0
Nervous	0	0	0	1	0	0	0	0
Uncomfortable	0	0	0	1	0	0	0	0
Exasperated	0	0	0	1	0	0	0	0
Attracted	0	0	0	1	0	0	0	0
Disoriented	0	0	0	1	0	0	0	0
Neglected	0	0	0	1	0	0	0	0
Frustrated	0	0	0	1	0	0	0	0
air force blue	0	0	0	0	1	0	0	0
alice blue	0	0	0	0	1	0	0	0
alizarin crimson	0	0	0	0	1	0	0	0
almond	0	0	0	0	1	0	0	0
amaranth	0	0	0	0	1	0	0	0
amber	0	0	0	0	1	0	0	0
american rose	0	0	0	0	1	0	0	0
amethyst	0	0	0	0	1	0	0	0
android green	0	0	0	0	1	0	0	0
anti-flash white	0	0	0	0	1	0	0	0
antique brass	0	0	0	0	1	0	0	0
antique fuchsia	0	0	0	0	1	0	0	0
antique white	0	0	0	0	1	0	0	0
ao	0	0	0	0	1	0	0	0
apple green	0	0	0	0	1	0	0	0
apricot	0	0	0	0	1	0	0	0
aqua	0	0	0	0	1	0	0	0
aquamarine	0	0	0	0	1	0	0	0
army green	0	0	0	0	1	0	0	0
arylide yellow	0	0	0	0	1	0	0	0
ash grey	0	0	0	0	1	0	0	0
asparagus	0	0	0	0	1	0	0	0
atomic tangerine	0	0	0	0	1	0	0	0
auburn	0	0	0	0	1	0	0	0
aureolin	0	0	0	0	1	0	0	0
awesome	0	0	0	0	1	0	0	0
azure	0	0	0	0	1	0	0	0
azure mist	0	0	0	0	1	0	0	0
baby blue	0	0	0	0	1	0	0	0
baby blue eyes	0	0	0	0	1	0	0	0
baby pink	0	0	0	0	1	0	0	0
ball blue	0	0	0	0	1	0	0	0
banana mania	0	0	0	0	1	0	0	0
banana yellow	0	0	0	0	1	0	0	0
battleship grey	0	0	0	0	1	0	0	0
bazaar	0	0	0	0	1	0	0	0
beau blue	0	0	0	0	1	0	0	0
beaver	0	0	0	0	1	0	0	0
beige	0	0	0	0	1	0	0	0
bisque	0	0	0	0	1	0	0	0
bistre	0	0	0	0	1	0	0	0
bittersweet	0	0	0	0	1	0	0	0
black	0	0	0	0	1	0	0	0
blanched almond	0	0	0	0	1	0	0	0
bleu de france	0	0	0	0	1	0	0	0
blizzard blue	0	0	0	0	1	0	0	0
blond	0	0	0	0	1	0	0	0
blue	0	0	0	0	1	0	0	0
blue bell	0	0	0	0	1	0	0	0
blue gray	0	0	0	0	1	0	0	0
blue green	0	0	0	0	1	0	0	0
blue purple	0	0	0	0	1	0	0	0
blue violet	0	0	0	0	1	0	0	0
blush	0	0	0	0	1	0	0	0
bole	0	0	0	0	1	0	0	0
bondi blue	0	0	0	0	1	0	0	0
bone	0	0	0	0	1	0	0	0
boston university red	0	0	0	0	1	0	0	0
bottle green	0	0	0	0	1	0	0	0
boysenberry	0	0	0	0	1	0	0	0
Brandeis blue	0	0	0	0	1	0	0	0
brass	0	0	0	0	1	0	0	0
brick red	0	0	0	0	1	0	0	0
bright cerulean	0	0	0	0	1	0	0	0
bright green	0	0	0	0	1	0	0	0
bright lavender	0	0	0	0	1	0	0	0
bright maroon	0	0	0	0	1	0	0	0
bright pink	0	0	0	0	1	0	0	0
bright turquoise	0	0	0	0	1	0	0	0
bright ube	0	0	0	0	1	0	0	0
brilliant lavender	0	0	0	0	1	0	0	0
brilliant rose	0	0	0	0	1	0	0	0
brink pink	0	0	0	0	1	0	0	0
british racing green	0	0	0	0	1	0	0	0
bronze	0	0	0	0	1	0	0	0
brown	0	0	0	0	1	0	0	0
bubble gum	0	0	0	0	1	0	0	0
bubbles	0	0	0	0	1	0	0	0
buff	0	0	0	0	1	0	0	0
bulgarian rose	0	0	0	0	1	0	0	0
burgundy	0	0	0	0	1	0	0	0
burlywood	0	0	0	0	1	0	0	0
burnt orange	0	0	0	0	1	0	0	0
burnt sienna	0	0	0	0	1	0	0	0
burnt umber	0	0	0	0	1	0	0	0
byzantine	0	0	0	0	1	0	0	0
byzantium	0	0	0	0	1	0	0	0
cg blue	0	0	0	0	1	0	0	0
cg red	0	0	0	0	1	0	0	0
cadet	0	0	0	0	1	0	0	0
cadet blue	0	0	0	0	1	0	0	0
cadet grey	0	0	0	0	1	0	0	0
cadmium green	0	0	0	0	1	0	0	0
cadmium orange	0	0	0	0	1	0	0	0
cadmium red	0	0	0	0	1	0	0	0
cadmium yellow	0	0	0	0	1	0	0	0
café au lait	0	0	0	0	1	0	0	0
café noir	0	0	0	0	1	0	0	0
cal poly pomona green	0	0	0	0	1	0	0	0
cambridge blue	0	0	0	0	1	0	0	0
camel	0	0	0	0	1	0	0	0
camouflage green	0	0	0	0	1	0	0	0
canary	0	0	0	0	1	0	0	0
canary yellow	0	0	0	0	1	0	0	0
candy apple red	0	0	0	0	1	0	0	0
candy pink	0	0	0	0	1	0	0	0
capri	0	0	0	0	1	0	0	0
caput mortuum	0	0	0	0	1	0	0	0
cardinal	0	0	0	0	1	0	0	0
caribbean green	0	0	0	0	1	0	0	0
carmine	0	0	0	0	1	0	0	0
carmine pink	0	0	0	0	1	0	0	0
carmine red	0	0	0	0	1	0	0	0
carnation pink	0	0	0	0	1	0	0	0
carnelian	0	0	0	0	1	0	0	0
carolina blue	0	0	0	0	1	0	0	0
carrot orange	0	0	0	0	1	0	0	0
celadon	0	0	0	0	1	0	0	0
celeste	0	0	0	0	1	0	0	0
celestial blue	0	0	0	0	1	0	0	0
cerise	0	0	0	0	1	0	0	0
cerise pink	0	0	0	0	1	0	0	0
cerulean	0	0	0	0	1	0	0	0
cerulean blue	0	0	0	0	1	0	0	0
chamoisee	0	0	0	0	1	0	0	0
champagne	0	0	0	0	1	0	0	0
charcoal	0	0	0	0	1	0	0	0
chartreuse	0	0	0	0	1	0	0	0
cherry	0	0	0	0	1	0	0	0
cherry blossom pink	0	0	0	0	1	0	0	0
chestnut	0	0	0	0	1	0	0	0
chocolate	0	0	0	0	1	0	0	0
chrome yellow	0	0	0	0	1	0	0	0
cinereous	0	0	0	0	1	0	0	0
cinnabar	0	0	0	0	1	0	0	0
cinnamon	0	0	0	0	1	0	0	0
citrine	0	0	0	0	1	0	0	0
classic rose	0	0	0	0	1	0	0	0
cobalt	0	0	0	0	1	0	0	0
cocoa brown	0	0	0	0	1	0	0	0
coffee	0	0	0	0	1	0	0	0
columbia blue	0	0	0	0	1	0	0	0
cool black	0	0	0	0	1	0	0	0
cool grey	0	0	0	0	1	0	0	0
copper	0	0	0	0	1	0	0	0
copper rose	0	0	0	0	1	0	0	0
coquelicot	0	0	0	0	1	0	0	0
coral	0	0	0	0	1	0	0	0
coral pink	0	0	0	0	1	0	0	0
coral red	0	0	0	0	1	0	0	0
cordovan	0	0	0	0	1	0	0	0
corn	0	0	0	0	1	0	0	0
cornell red	0	0	0	0	1	0	0	0
cornflower	0	0	0	0	1	0	0	0
cornflower blue	0	0	0	0	1	0	0	0
cornsilk	0	0	0	0	1	0	0	0
cosmic latte	0	0	0	0	1	0	0	0
cotton candy	0	0	0	0	1	0	0	0
cream	0	0	0	0	1	0	0	0
crimson	0	0	0	0	1	0	0	0
crimson red	0	0	0	0	1	0	0	0
crimson glory	0	0	0	0	1	0	0	0
cyan	0	0	0	0	1	0	0	0
daffodil	0	0	0	0	1	0	0	0
dandelion	0	0	0	0	1	0	0	0
dark blue	0	0	0	0	1	0	0	0
dark brown	0	0	0	0	1	0	0	0
dark byzantium	0	0	0	0	1	0	0	0
dark candy apple red	0	0	0	0	1	0	0	0
dark cerulean	0	0	0	0	1	0	0	0
dark chestnut	0	0	0	0	1	0	0	0
dark coral	0	0	0	0	1	0	0	0
dark cyan	0	0	0	0	1	0	0	0
dark electric blue	0	0	0	0	1	0	0	0
dark goldenrod	0	0	0	0	1	0	0	0
dark gray	0	0	0	0	1	0	0	0
dark green	0	0	0	0	1	0	0	0
dark jungle green	0	0	0	0	1	0	0	0
dark khaki	0	0	0	0	1	0	0	0
dark lava	0	0	0	0	1	0	0	0
dark lavender	0	0	0	0	1	0	0	0
dark magenta	0	0	0	0	1	0	0	0
dark midnight blue	0	0	0	0	1	0	0	0
dark olive green	0	0	0	0	1	0	0	0
dark orange	0	0	0	0	1	0	0	0
dark orchid	0	0	0	0	1	0	0	0
dark pastel blue	0	0	0	0	1	0	0	0
dark pastel green	0	0	0	0	1	0	0	0
dark pastel purple	0	0	0	0	1	0	0	0
dark pastel red	0	0	0	0	1	0	0	0
dark pink	0	0	0	0	1	0	0	0
dark powder blue	0	0	0	0	1	0	0	0
dark raspberry	0	0	0	0	1	0	0	0
dark red	0	0	0	0	1	0	0	0
dark salmon	0	0	0	0	1	0	0	0
dark scarlet	0	0	0	0	1	0	0	0
dark sea green	0	0	0	0	1	0	0	0
dark sienna	0	0	0	0	1	0	0	0
dark slate blue	0	0	0	0	1	0	0	0
dark slate gray	0	0	0	0	1	0	0	0
dark spring green	0	0	0	0	1	0	0	0
dark tan	0	0	0	0	1	0	0	0
dark tangerine	0	0	0	0	1	0	0	0
dark taupe	0	0	0	0	1	0	0	0
dark terra cotta	0	0	0	0	1	0	0	0
dark turquoise	0	0	0	0	1	0	0	0
dark violet	0	0	0	0	1	0	0	0
dartmouth green	0	0	0	0	1	0	0	0
davy grey	0	0	0	0	1	0	0	0
debian red	0	0	0	0	1	0	0	0
deep carmine	0	0	0	0	1	0	0	0
deep carmine pink	0	0	0	0	1	0	0	0
deep carrot orange	0	0	0	0	1	0	0	0
deep cerise	0	0	0	0	1	0	0	0
deep champagne	0	0	0	0	1	0	0	0
deep chestnut	0	0	0	0	1	0	0	0
deep coffee	0	0	0	0	1	0	0	0
deep fuchsia	0	0	0	0	1	0	0	0
deep jungle green	0	0	0	0	1	0	0	0
deep lilac	0	0	0	0	1	0	0	0
deep magenta	0	0	0	0	1	0	0	0
deep peach	0	0	0	0	1	0	0	0
deep pink	0	0	0	0	1	0	0	0
deep saffron	0	0	0	0	1	0	0	0
deep sky blue	0	0	0	0	1	0	0	0
denim	0	0	0	0	1	0	0	0
desert	0	0	0	0	1	0	0	0
desert sand	0	0	0	0	1	0	0	0
dim gray	0	0	0	0	1	0	0	0
dodger blue	0	0	0	0	1	0	0	0
dogwood rose	0	0	0	0	1	0	0	0
dollar bill	0	0	0	0	1	0	0	0
drab	0	0	0	0	1	0	0	0
duke blue	0	0	0	0	1	0	0	0
earth yellow	0	0	0	0	1	0	0	0
ecru	0	0	0	0	1	0	0	0
eggplant	0	0	0	0	1	0	0	0
eggshell	0	0	0	0	1	0	0	0
egyptian blue	0	0	0	0	1	0	0	0
electric blue	0	0	0	0	1	0	0	0
electric crimson	0	0	0	0	1	0	0	0
electric cyan	0	0	0	0	1	0	0	0
electric green	0	0	0	0	1	0	0	0
electric indigo	0	0	0	0	1	0	0	0
electric lavender	0	0	0	0	1	0	0	0
electric lime	0	0	0	0	1	0	0	0
electric purple	0	0	0	0	1	0	0	0
electric ultramarine	0	0	0	0	1	0	0	0
electric violet	0	0	0	0	1	0	0	0
electric yellow	0	0	0	0	1	0	0	0
emerald	0	0	0	0	1	0	0	0
eton blue	0	0	0	0	1	0	0	0
fallow	0	0	0	0	1	0	0	0
falu red	0	0	0	0	1	0	0	0
famous	0	0	0	0	1	0	0	0
fandango	0	0	0	0	1	0	0	0
fashion fuchsia	0	0	0	0	1	0	0	0
fawn	0	0	0	0	1	0	0	0
feldgrau	0	0	0	0	1	0	0	0
fern	0	0	0	0	1	0	0	0
fern green	0	0	0	0	1	0	0	0
ferrari red	0	0	0	0	1	0	0	0
field drab	0	0	0	0	1	0	0	0
fire engine red	0	0	0	0	1	0	0	0
firebrick	0	0	0	0	1	0	0	0
flame	0	0	0	0	1	0	0	0
flamingo pink	0	0	0	0	1	0	0	0
flavescent	0	0	0	0	1	0	0	0
flax	0	0	0	0	1	0	0	0
floral white	0	0	0	0	1	0	0	0
fluorescent orange	0	0	0	0	1	0	0	0
fluorescent pink	0	0	0	0	1	0	0	0
fluorescent yellow	0	0	0	0	1	0	0	0
folly	0	0	0	0	1	0	0	0
forest green	0	0	0	0	1	0	0	0
french beige	0	0	0	0	1	0	0	0
french blue	0	0	0	0	1	0	0	0
french lilac	0	0	0	0	1	0	0	0
french rose	0	0	0	0	1	0	0	0
fuchsia	0	0	0	0	1	0	0	0
fuchsia pink	0	0	0	0	1	0	0	0
fulvous	0	0	0	0	1	0	0	0
fuzzy wuzzy	0	0	0	0	1	0	0	0
gainsboro	0	0	0	0	1	0	0	0
gamboge	0	0	0	0	1	0	0	0
ghost white	0	0	0	0	1	0	0	0
ginger	0	0	0	0	1	0	0	0
glaucous	0	0	0	0	1	0	0	0
glitter	0	0	0	0	1	0	0	0
gold	0	0	0	0	1	0	0	0
golden brown	0	0	0	0	1	0	0	0
golden poppy	0	0	0	0	1	0	0	0
golden yellow	0	0	0	0	1	0	0	0
goldenrod	0	0	0	0	1	0	0	0
granny smith apple	0	0	0	0	1	0	0	0
gray	0	0	0	0	1	0	0	0
gray asparagus	0	0	0	0	1	0	0	0
green	0	0	0	0	1	0	0	0
green blue	0	0	0	0	1	0	0	0
green yellow	0	0	0	0	1	0	0	0
grullo	0	0	0	0	1	0	0	0
guppie green	0	0	0	0	1	0	0	0
halayà úbe	0	0	0	0	1	0	0	0
han blue	0	0	0	0	1	0	0	0
han purple	0	0	0	0	1	0	0	0
hansa yellow	0	0	0	0	1	0	0	0
harlequin	0	0	0	0	1	0	0	0
harvard crimson	0	0	0	0	1	0	0	0
harvest gold	0	0	0	0	1	0	0	0
heart gold	0	0	0	0	1	0	0	0
heliotrope	0	0	0	0	1	0	0	0
hollywood cerise	0	0	0	0	1	0	0	0
honeydew	0	0	0	0	1	0	0	0
hooker green	0	0	0	0	1	0	0	0
hot magenta	0	0	0	0	1	0	0	0
hot pink	0	0	0	0	1	0	0	0
hunter green	0	0	0	0	1	0	0	0
icterine	0	0	0	0	1	0	0	0
inchworm	0	0	0	0	1	0	0	0
india green	0	0	0	0	1	0	0	0
indian red	0	0	0	0	1	0	0	0
indian yellow	0	0	0	0	1	0	0	0
indigo	0	0	0	0	1	0	0	0
international klein blue	0	0	0	0	1	0	0	0
international orange	0	0	0	0	1	0	0	0
iris	0	0	0	0	1	0	0	0
isabelline	0	0	0	0	1	0	0	0
islamic green	0	0	0	0	1	0	0	0
ivory	0	0	0	0	1	0	0	0
jade	0	0	0	0	1	0	0	0
jasmine	0	0	0	0	1	0	0	0
jasper	0	0	0	0	1	0	0	0
jazzberry jam	0	0	0	0	1	0	0	0
jonquil	0	0	0	0	1	0	0	0
june bud	0	0	0	0	1	0	0	0
jungle green	0	0	0	0	1	0	0	0
KU crimson	0	0	0	0	1	0	0	0
kelly green	0	0	0	0	1	0	0	0
khaki	0	0	0	0	1	0	0	0
la salle green	0	0	0	0	1	0	0	0
languid lavender	0	0	0	0	1	0	0	0
lapis lazuli	0	0	0	0	1	0	0	0
laser lemon	0	0	0	0	1	0	0	0
laurel green	0	0	0	0	1	0	0	0
lava	0	0	0	0	1	0	0	0
lavender	0	0	0	0	1	0	0	0
lavender blue	0	0	0	0	1	0	0	0
lavender blush	0	0	0	0	1	0	0	0
lavender gray	0	0	0	0	1	0	0	0
lavender indigo	0	0	0	0	1	0	0	0
lavender magenta	0	0	0	0	1	0	0	0
lavender mist	0	0	0	0	1	0	0	0
lavender pink	0	0	0	0	1	0	0	0
lavender purple	0	0	0	0	1	0	0	0
lavender rose	0	0	0	0	1	0	0	0
lawn green	0	0	0	0	1	0	0	0
lemon	0	0	0	0	1	0	0	0
lemon yellow	0	0	0	0	1	0	0	0
lemon chiffon	0	0	0	0	1	0	0	0
lemon lime	0	0	0	0	1	0	0	0
light crimson	0	0	0	0	1	0	0	0
light thulian pink	0	0	0	0	1	0	0	0
light apricot	0	0	0	0	1	0	0	0
light blue	0	0	0	0	1	0	0	0
light brown	0	0	0	0	1	0	0	0
light carmine pink	0	0	0	0	1	0	0	0
light coral	0	0	0	0	1	0	0	0
light cornflower blue	0	0	0	0	1	0	0	0
light cyan	0	0	0	0	1	0	0	0
light fuchsia pink	0	0	0	0	1	0	0	0
light goldenrod yellow	0	0	0	0	1	0	0	0
light gray	0	0	0	0	1	0	0	0
light green	0	0	0	0	1	0	0	0
light khaki	0	0	0	0	1	0	0	0
light pastel purple	0	0	0	0	1	0	0	0
light pink	0	0	0	0	1	0	0	0
light salmon	0	0	0	0	1	0	0	0
light salmon pink	0	0	0	0	1	0	0	0
light sea green	0	0	0	0	1	0	0	0
light sky blue	0	0	0	0	1	0	0	0
light slate gray	0	0	0	0	1	0	0	0
light taupe	0	0	0	0	1	0	0	0
light yellow	0	0	0	0	1	0	0	0
lilac	0	0	0	0	1	0	0	0
lime	0	0	0	0	1	0	0	0
lime green	0	0	0	0	1	0	0	0
lincoln green	0	0	0	0	1	0	0	0
linen	0	0	0	0	1	0	0	0
